ID ;BLR-698;Black 101;Az-142N;SicL1600;H4G;EL9914;L3912C;L0962HD;CG GN;ZiePig G;SY3CN;L1100;L2110;L1010;HeG8735;By130M;By320;By316;By610;EP-28;Blue PigBL;DPP SR2P;VR F5RK;PO2930;CP4403;UV12;ChV5800;L;a;b
PR/1899/2;40;0,75;;;;;;;;;;;5;;;0,5;;;;;;;;;;;;65,65;0,45;4,27
PR/1899/3;35;0,75;;;;;;;;;;;5;;;0,2;;;;;;;;;;;;65,45;-0,88;4,22
PR/1899/4;35;0,75;;;;;;;;;;;7;;;0,1;;;;;;;;;;;;65,35;-1,3;6,32
PR/1897/2;15;;7,5;;;;;;;;;;;;0,7;;;2;;;;;;;;;;54,14;-12,69;14,74
PR/1897/3;15;;8;;;;;;;;;;;;0,7;;;2,2;;;;;;;;;;53,66;-11,97;14,83
PR/1897/6;14;;8;;;;;;;;;;;;0,7;;;2;;;;;;;;;;53,5;-12,36;15,29
PR/1893/1;10;4;;;;;;;;;;;;;;0,75;;;;;;;;;;;;34,61;0,12;-3,03
PR/1893/2;13;4;;;;;;;;;;;;;;0,75;;;;;;;;;;;;36,38;0;-3,35
PR/1893/3;13;4;;;;;;;;;;;;1;;0,75;;;;;;;;;;;;36,52;-0,04;-3,12
PR/1892/1;10;;;;;;;;;;;;;;;0,5;;18;;;;;;;;;;34,88;0,64;-0,26
PR/1892/2;10;;;;;;;;3;;;;;;;;;15;;;;;;;;;;36,24;-0,53;0,04
PR/1892/3;10;;;;;;;;2,5;;;;;;;;;13;;;;;;;;;;40,32;-0,74;-0,2
PR/1892/4;10;;;;;;;;2,5;;;;;;;;;15;;;;;;;;;;36,54;-0,46;-0,08
PR/1892/11;10,5;;0,5;;;;;;1,3;;;;;;;;;13,5;;;;;;;;;;37,29;-0,29;0,19
PR/1892/12;10;;0,5;;;;;;1,3;;;;;;;;;13,5;;;;;;;;;;37;-0,32;0,15
PR/1892/13;10;;0,4;;;;;;1,3;;;;;;;;;13,5;;;;;;;;;;37,16;-0,27;0,2
PR/1889/1;6,75;4;;;;;;;4;;;;;0,4;;;;;;;;;;;;;;34,02;-1,31;-2,2
PR/1889/2;6,75;4;;;;;;;3,5;;;;;0,4;;;;;;;;;;;;;;33,54;-1,11;-2,12
PR/1889/5;7,7;4;;;;;;;3,5;;;;;0,4;;;;;;;;;;;;;;34,66;-1,36;-2,16
PR/1888/1;6,5;3,5;;;;;;;3,25;;;;;;;;;;;3;;;;;;;;33;-1,2;-2,74
PR/1888/2;6,5;3;;;;;;;3,3;;;;;;;;;;;3;;;;;;;;34,23;-1,43;-2,93
PR/1888/3;6,5;3,3;;;;;;;3,3;;;;;;;;;;;2,8;;;;;;;;33,42;-1,38;-2,87
PR/1888/7;7,5;3,5;;;;;;;3;;;;;;;;;;;1,5;;;;;;;;33,91;-1,31;-2,85
PR/1888/10;7,5;3,5;;;;;;;3,5;;;;;;;;;;;;;;;;;;;33,99;-1,34;-2,38
PR/1885/2;15;;;15;;5;0,6;10;;;;;;;;;;;;;;;;;;;;77,66;8,19;72,65
PR/1885/11;15;;;15;;10;0,75;1;;;;;;;;;;;;;;;;;;;;77,99;9,51;74,12
PR/1885/13;15;;;;;;1;14;0,3;;;10;;15;;;;;;;;;;;;;;79,62;8,53;75,38
PR/1885/18;15;;;;;5;;15;;;;8;7;;;;;;;;;;;;;;;78,41;2,83;72,2
PR/1885/20;20;;;;;5;;15;;;0,75;8;7;;;;;;;;;;;;;;;76,63;9,21;71,5
PR/1885/21;15;;;;;5;;15;;;0,75;10;;;;;;;;;;;;;;;;78,5;7,16;74,24
PR/1884/10;9;3,7;;;;;;;1,5;;;;1,8;;;;;;;;;;;;;;;35,93;-1,13;-2,17
PR/1884/1;7,5;3,7;;;;;;;3;;;;;0,5;;;;;;;;;;;;;;35,04;-1,23;-2,36
PR/1884/2;10;3,7;;;;;;;3;;;;;0,5;;;;;;;;;;;;;;36,93;-1,35;-2,68
PR/1884/3;9;3,7;;;;;;;3;;;;1;;;;;;;;;;;;;;;36,15;-1,29;-2,22
PR/1883/1;6,5;3,5;;;;;;;3,5;;;;;;;;;;;3;;;;;;;;-0,39;0,6;0,03
PR/1883/2;6,5;3,5;;;;;;;3,5;;;;;;;;;;;2;;;;;;;;-0,13;0,09;0,19
PR/1938/1;65;;;;;;;;1;;;;;;;;;;;1;;;;;;;;86;-4,75;0,25
PR/1938/2;70;;;;;;;;1;;;;;;;;;;;1,5;;;;;;;;85,18;-4,78;-1,82
PR/1937/3;10;1;10;;;;;;;1,5;;;;;;;;;;;;;;;;;;44,51;-10,12;9,7
PR/1937/4;10;1,2;15;;;;;;;1;;;;;;;;;;;;;;;;;;44,84;-6,24;12,75
PR/1936/1;5,5;1,25;;;;;;;;;;;;;;;;;;;3;;;;;;0,7;28,16;1,57;-16,12
PR/1936/2;5,5;0,8;;;;;;;;;;;;;;;;;;;3;;;;;;0,7;28,62;2,38;-19,44
PR/1935/13;15,5;;;;;;;;;;;;;;;0,4;;3;;;2,8;;;;;;;41,74;-8,9;-18,93
PR/1935/17;15;;;;;;;;;;;;;;;0,2;;3;;;2,8;;;;;;;42,32;-9,14;-18,9
PR/1935/4;15,5;;;;;;;;;;;;;;;0,9;;4;;;2,8;;;;;;;39,94;-6,66;-14,06
PR/1934/1;25;;;;;;;;;;;;;;;;;;;;2,5;;;;;;0,1;53,27;-8,86;-36,83
PR/1933/1;11;4;;;;0,7;;;;;;;;;;0,7;;;;;;;;;;;;36,43;-0,48;-1,96
PR/1933/2;11;4;;;;0,5;;;;;;;;;;0,7;;;;;;;;;;;;36,49;-0,38;-2,17
PR/1933/6;12;3,7;;;;0,3;;;;;;;;;;0,5;;;;;;;;;;;;37,51;-0,59;-2,69
PR/1932/1;25;;;;5;10;;;;;;;10;;;;;;;;;1;;;;;;64,52;30,43;41,2
PR/1932/2;25;;;;5;10;;;;;;;10;;;;;;;;;0,5;;;;;;68,69;22,97;46,47
PR/1932/9;50;;;;7,5;;;;;;5;7,5;;;;;;;;;;;;6;;;;69,27;36,4;54,85
PR/1932/14;55;;;;10;;;;;;5;;;;;;;;;;;;;6;;;;69,74;38,05;54,05
PR/1931/2;50;;;;;;;;0,2;;;;0,3;;;;;0,6;;0,5;;;;;;;;81,62;-1,61;2,12
PR/1931/3;45;;;;;;;;0,2;;;;0,3;;;;;0,6;;0,5;;;;;;;;80,91;-1,62;2,16
PR/1900/4;5;;;;;;;;;;;;;;;2;;;;;;15;;;0,3;;;43,31;44,23;26,58
PR/1924/2;21;;;;;;;;;;;;;;;1,1;;3,3;;;3;;;;;;0,05;43,49;-7,67;-18,69
PR/1924/3;18;;;;;;;;;;;;;;;1,1;;3,3;;;3;;;;;;0,05;41,98;-7,22;-18,26
PR/1924/4;17;;;;;;;;;;;;;;;1,1;;3,3;;;3;;;;;;;41,77;-8,07;-17,69
PR/1924/5;15;;;;;;;;;;;;;;;1;;3,3;;;3;;;;;;;40,78;-7,7;-17,47
PR/1927/1;130;;;;;;;;;;;;;;;;;;;;;;;;;;;95,71;-1,38;4,78
PR/1927/2;130;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;94,71;-0,28;2,14
PR/1927/3;130;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;93,49;-1,95;0,46
PR/1927/4;130;;;;;;;;;;;;;;;;;;;0,25;;;;;;;;94,29;-1,57;0,65
PR/1922/1;15;;10;;;;;;;;7,5;;;;;;;;;;;1;;;;;;57,2;35,99;41,26
PR/1922/2;15;;10;;;;;;;;7,5;;;;;;;;;;;0,3;;;;;;62,33;29,87;49,1
PR/1922/3;7,5;;10;;;;;;;;7,5;;;;;;;;;;;0,3;;;;;;59,61;30,84;48,95
PR/1922/9;7,5;;10;;;;;;;;7,5;;;;;;;;;;;;;2;;;;63,14;28,57;57,74
PR/1922/10;7,5;;10;;;;;;;;7,5;;;;;;;;;;;;;4;;;;59,92;35,14;52,61
PR/1922/11;7,5;;10;;10;;;;;;7,5;;;;;;;;;;;;;4;;;;60,62;34,16;53,62
PR/1920/1;25;;;;;;;;;;;;;;;;;;;;2,5;;;;;;0,1;53,06;-9,58;-38,16
PR/1920/2;25;;;;;;;;;;;;1;;;;;;;;2,5;;;;;;0,1;52,38;-10,78;-34,54
PR/1920/3;22,5;;;;;;;;;;;;1;;;;;;;;2,5;;;;;;0,08;51,54;-11,31;-34,97
PR/1918/1;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;28,58;-0,01;-1,04
PR/1918/2;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;28,04;0;-0,66
PR/1918/3;0,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;28,1;0,03;-0,39
PR/1918/4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;27,84;0,06;-0,23
PR/1917/3;12,5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;42,37;-1,58;-0,24
PR/1917/4;12,5;1,5;1;;;;;;;;;;;;;;;;;;;;;;;;;44,36;-1,5;-1,55
PR/1804/1;50;1,5;;;;;;;;;;;4,75;;;0,2;;;;0,4;;;;;;;;61;-1,59;-0,42
PR/1800/3;50;1,4;;;;;;;;;;;4,8;;;0,2;;;;0,4;;;;;;;;61,78;-1,56;-0,7
PR/1801/14;115;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;92,87;-2,23;-0,42
PR/1801/16;115;;;;;;;;;;;;;;;0,02;;;;0,3;;;;;;;;93,45;-1,53;1,31
PR/1806/3;50;1;1,2;;;;;;;;;;;;;0,45;;;;;;;;;;;;64,81;-0,43;0,64
PR/1805/15;5,3;2;;;;;;;0,8;;;;1,4;1,4;;0,3;;;;0,2;;;;;;;;26,38;-1,55;-0,71
PR/1807/3;115;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;87,27;0,32;0,41
PR/1808/15;122;;;;;;;;0,05;;;;;;;;;;;0,3;;;;;;;;93,89;-2,11;1,43
PR/1808/6;120;;;;;;;;;;;;;;;;0,02;;;;;;;;;;;94,05;-0,97;4,32
PR/1810/1;15;3;;;;;;;;;;;4;;;0,7;;;;;;;;;;;;40,81;-0,23;1,2
PR/1810/3;15;3;;;;;;;;;;1;4,5;;;0,7;;;;;;;;;;;;41,59;-0,31;-0,82
PR/1816/2;;;;;5,5;;;;;;;;3;;;1,5;;;5;;;;;;;;;40,68;17,19;20,56
PR/1818/3;120;;;;;;;;;;;;;;;;0,01;;;;;;;;;;;89,91;-0,21;2,47
PR/1819/15;43;1,2;;;;;;;;;;;;;;;;;;0,5;;;;;;;;63,05;-1,97;-4,08
